"Sens Factor =1.436dB, SERNO: 7038166" 
10.054	-6.0498 
10.179	-5.8766 
10.306	-5.7065 
10.434	-5.5396 
10.564	-5.3759 
10.696	-5.2152 
10.829	-5.0578 
10.964	-4.9033 
11.1	-4.7519 
11.238	-4.6036 
11.378	-4.4581 
11.52	-4.3156 
11.663	-4.1760 
11.809	-4.0392 
11.956	-3.9053 
12.104	-3.7743 
12.255	-3.6459 
12.408	-3.5203 
12.562	-3.3975 
12.718	-3.2773 
12.877	-3.1597 
13.037	-3.0448 
13.199	-2.9324 
13.364	-2.8226 
13.53	-2.7153 
13.698	-2.6105 
13.869	-2.5081 
14.042	-2.4081 
14.216	-2.3106 
14.393	-2.2154 
14.573	-2.1224 
14.754	-2.0319 
14.938	-1.9435 
15.124	-1.8574 
15.312	-1.7735 
15.503	-1.6917 
15.696	-1.6120 
15.891	-1.5345 
16.089	-1.4590 
16.289	-1.3856 
16.492	-1.3141 
16.697	-1.2446 
16.905	-1.1771 
17.115	-1.1114 
17.328	-1.0477 
17.544	-0.9857 
17.763	-0.9255 
17.984	-0.8672 
18.208	-0.8106 
18.434	-0.7557 
18.664	-0.7024 
18.896	-0.6508 
19.131	-0.6009 
19.369	-0.5525 
19.611	-0.5056 
19.855	-0.4602 
20.102	-0.4164 
20.352	-0.3740 
20.605	-0.3330 
20.862	-0.2934 
21.122	-0.2551 
21.385	-0.2182 
21.651	-0.1826 
21.92	-0.1482 
22.193	-0.1150 
22.47	-0.0831 
22.749	-0.0523 
23.032	-0.0226 
23.319	0.0060 
23.609	0.0335 
23.903	0.0600 
24.201	0.0855 
24.502	0.1100 
24.807	0.1335 
25.116	0.1562 
25.429	0.1780 
25.745	0.1990 
26.066	0.2192 
26.39	0.2386 
26.719	0.2572 
27.051	0.2751 
27.388	0.2924 
27.729	0.3090 
28.074	0.3250 
28.424	0.3405 
28.778	0.3553 
29.136	0.3697 
29.499	0.3836 
29.866	0.3970 
30.238	0.4100 
30.614	0.4226 
30.995	0.4349 
31.381	0.4468 
31.772	0.4585 
32.167	0.4699 
32.568	0.4810 
32.973	0.4920 
33.383	0.5028 
33.799	0.5135 
34.22	0.5241 
34.646	0.5346 
35.077	0.5451 
35.514	0.5552 
35.956	0.5656 
36.403	0.5762 
36.857	0.5869 
37.315	0.5976 
37.78	0.6082 
38.25	0.6186 
38.726	0.6289 
39.209	0.6390 
39.697	0.6490 
40.191	0.6589 
40.691	0.6686 
41.198	0.6781 
41.711	0.6870 
42.23	0.6949 
42.756	0.7014 
43.288	0.7065 
43.827	0.7104 
44.372	0.7133 
44.925	0.7156 
45.484	0.7176 
46.05	0.7194 
46.623	0.7210 
47.204	0.7224 
47.791	0.7235 
48.386	0.7244 
48.989	0.7249 
49.599	0.7250 
50.216	0.7247 
50.841	0.7242 
51.474	0.7233 
52.115	0.7223 
52.764	0.7212 
53.42	0.7201 
54.085	0.7191 
54.759	0.7179 
55.44	0.7164 
56.131	0.7143 
56.829	0.7113 
57.537	0.7075 
58.253	0.7028 
58.978	0.6976 
59.712	0.6919 
60.456	0.6860 
61.208	0.6801 
61.97	0.6741 
62.742	0.6683 
63.523	0.6625 
64.314	0.6568 
65.114	0.6512 
65.925	0.6455 
66.745	0.6399 
67.576	0.6342 
68.418	0.6287 
69.269	0.6237 
70.132	0.6197 
71.005	0.6169 
71.889	0.6155 
72.784	0.6151 
